Drug,Enzyme,Action,Database,Species,DrugID,Gene,Reference,Strength
Ranitidine,CYP2D6,inhibitor,SuperCYP,human,,,,
Ranitidine,CYP3A4,inhibitor,SuperCYP,human,,,,
Ranitidine,CYP3A5,inhibitor,SuperCYP,human,,,,
Ranitidine,CYP3A4,inhibitor,SuperCYP,human,,,,
Ranitidine,CYP3A5,inhibitor,SuperCYP,human,,,,
Ranitidine,CYP2D6,inhibitor,KEGG, Not Specified,,,, 
Ranolazine,CYP2D6,inhibitor,DrugBank,Not Specified,DB00243,,,
Ranolazine,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00243,,,
Ranolazine,CYP3A,inhibitor,KEGG, Not Specified,,,, Weak
Ranolazine,CYP3A,inhibitor,KEGG, Not Specified,,,, Weak
Ranolazine,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00243,,,
Rasagiline,CYP1A2,substrate,DrugBank,Not Specified,DB01367,,,
Rasagiline,CYP1A2,substrate,SuperCYP,human,,,,
Reboxetine,CYP2D6,"inhibitor, inducer",DrugBank,Not Specified,DB00234,,,
Reboxetine,CYP3A4,substrate,DrugBank,Not Specified,DB00234,,,
Reboxetine,CYP3A4,substrate,DrugBank,Not Specified,DB00234,,,
Reboxetine,CYP2D6,inducer,SuperCYP,human,,,,
Reboxetine,CYP2D6,inhibitor,SuperCYP,human,,,,
Reboxetine,CYP3A4,substrate,SuperCYP,human,,,,
Reboxetine,CYP3A4,substrate,SuperCYP,human,,,,
Reboxetine,CYP3A4,substrate,SuperCYP,human,,,,
Reboxetine,CYP3A4,substrate,SuperCYP,human,,,,
reduced-haloperidol,CYP2D6,inhibitor,Indiana University,Not Specified,,,,
Regorafenib,CYP2C8,inhibitor,DrugBank,Not Specified,DB08896,,,
Regorafenib,CYP2C9,inhibitor,DrugBank,Not Specified,DB08896,,,
Regorafenib,CYP2C19,inhibitor,DrugBank,Not Specified,DB08896,,,
Regorafenib,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB08896,,,
Regorafenib,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB08896,,,
Regorafenib,ABCG2,inhibitor,Transporter,,,,,
Remoxipride,CYP2D6,substrate,DrugBank,Not Specified,DB00409,,,
Remoxipride,CYP2D6,substrate,SuperCYP,human,,,,
Remoxipride,CYP2D6,substrate,SuperCYP,human,,,,
Repaglinide,CYP2C8,substrate,DrugBank,Not Specified,DB00912,,,
repaglinide,CYP2C8,substrate,Indiana University,Not Specified,,,,
Repaglinide,CYP2C8,substrate,KEGG, Not Specified,,,, Sensitive
repaglinide,CYP2C8,substrate,ildcare,Not Specified,,,,
Repaglinide,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00912,,,
repaglinide,CYP3A4,substrate,ildcare,Not Specified,,,,
Repaglinide,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00912,,,
repaglinide,CYP3A4,substrate,ildcare,Not Specified,,,,
Repaglinide,SLCO1B1,substrate,Transporter,,,,,
Repaglinide,SLC01B1,substrate,Transporter,,,,,
Repaglinide,CYP2C8,substrate,SuperCYP,human,,,,
Repaglinide,CYP2C8,substrate,SuperCYP,human,,,,
Repaglinide,CYP3A4,substrate,SuperCYP,human,,,,
Repaglinide,CYP3A4,substrate,SuperCYP,human,,,,
Repaglinide,CYP3A4,inhibitor,SuperCYP,human,,,,
Repaglinide,CYP3A4,substrate,SuperCYP,human,,,,
Repaglinide,CYP3A4,substrate,SuperCYP,human,,,,
Repaglinide,CYP3A4,inhibitor,SuperCYP,human,,,,
Reserpin,CYP3A5,inducer,SuperCYP,human,,,,
Reserpin,CYP3A5,inducer,SuperCYP,human,,,,
Reserpine,CYP3A5,inducer,DrugBank,Not Specified,DB00206,,,
Reserpine,CYP3A5,inducer,DrugBank,Not Specified,DB00206,,,
Reserpine,SLC22A2,substrate,Transporter,,,,,
Reserpine,CYP3A5,inducer,SuperCYP,human,,,,
Reserpine,CYP3A5,inducer,SuperCYP,human,,,,
Resveratrol,CYP1A1,"substrate,inhibitor",DrugBank,Not Specified,DB02709,,,
Resveratrol,CYP1A2,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB02709,,,
Resveratrol,CYP3A4,inhibitor,DrugBank,Not Specified,DB02709,,,
Resveratrol,CYP3A4,inhibitor,DrugBank,Not Specified,DB02709,,,
Retapamulin,CYP3A4,substrate,DrugBank,Not Specified,DB01256,,,
Retapamulin,CYP3A4,substrate,DrugBank,Not Specified,DB01256,,,
retigabine,CYP1A1,substrate,SuperCYP,,,,,
retinoic acid,CYP2C8,substrate,ildcare,Not Specified,,,,
retinol,CYP2C8,substrate,ildcare,Not Specified,,,,
Retinol,CYP1A1,inhibitor,SuperCYP,human,,,,
Retinol,CYP1A1,inducer,SuperCYP,human,,,,
Retinol,CYP1A1,inhibitor,SuperCYP,human,,,,
Retinol,CYP1A1,inhibitor,SuperCYP,human,,,,
Retinol,CYP1A2,inhibitor,SuperCYP,,,,,
Retinol,CYP1A2,substrate,SuperCYP,human,,,,
Retinol,CYP1B1,substrate,SuperCYP,human,,,,
Retinol,CYP1B1,substrate,SuperCYP,human,,,,
Retinol,CYP2B6,inhibitor,SuperCYP,human,,,,
Retinol,CYP2B6,inhibitor,SuperCYP,human,,,,
Retinol,CYP2C8,inhibitor,SuperCYP,human,,,,
Retinol,CYP2C8,substrate,SuperCYP,human,,,,
Retinol,CYP2C9,inhibitor,SuperCYP,human,,,,
Retinol,CYP2C19,inhibitor,SuperCYP,human,,,,
Retinol,CYP2C19,inhibitor,SuperCYP,human,,,,
Retinol,CYP2E1,substrate,SuperCYP,human,,,,
Retinol,CYP2E1,inducer,SuperCYP,,,,,
Retinol,CYP2S1,substrate,SuperCYP,human,,,,
Retinol,CYP3A4,substrate,SuperCYP,human,,,,
Retinol,CYP3A4,substrate,SuperCYP,human,,,,
Retinol,CYP4F2,inhibitor,SuperCYP,human,,,,
Retinol,CYP7A1,inhibitor,SuperCYP,,,,,
Retinol,CYP26A1,inducer,SuperCYP,human,,,,
Retinol,CYP26A1,inducer,SuperCYP,,,,,
Retinol,CYP2C8,substrate,KEGG, Not Specified,,,, 
Retinol,CYP2C8,substrate,KEGG, Not Specified,,,, 
Retinol,CYP2C8,substrate,KEGG, Not Specified,,,, 
Retinol,CYP2C8,substrate,KEGG, Not Specified,,,, 
Retinol propionate,CYP2C8,substrate,KEGG, Not Specified,,,, 
RHIIP,CYP1A2,inducer,DrugBank,Not Specified,DB05215,,,
Riboflavin,SLC22A6,inhibitor,Transporter,,,,,
Riboflavin,CYP1A1,substrate,SuperCYP,human,,,,
Rifabutin,CYP1A2,substrate,DrugBank,Not Specified,DB00615,,,
rifabutin,CYP2C8,Inducer,ildcare,Not Specified,,,,
Rifabutin,CYP2C19, inducer,KEGG, Not Specified,,,, 
Rifabutin,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB00615,,,
rifabutin,CYP3A4,inducer,Indiana University,Not Specified,,,,
rifabutin,CYP3A5,inducer,Indiana University,Not Specified,,,,
rifabutin,CYP3A7,inducer,Indiana University,Not Specified,,,,
Rifabutin,CYP3A4, inducer,KEGG, Not Specified,,,, 
Rifabutin,CYP3A5, inducer,KEGG, Not Specified,,,, 
Rifabutin,CYP3A7, inducer,KEGG, Not Specified,,,, 
Rifabutin,CYP3A, inducer,KEGG, Not Specified,,,, 
rifabutin,CYP3A4,substrate,ildcare,Not Specified,,,,
rifabutin,CYP3A4,Inducer,ildcare,Not Specified,,,,
Rifabutin,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB00615,,,
rifabutin,CYP3A4,inducer,Indiana University,Not Specified,,,,
Rifabutin,CYP3A4, inducer,KEGG, Not Specified,,,, 
rifabutin,CYP3A4,substrate,ildcare,Not Specified,,,,
rifabutin,CYP3A4,Inducer,ildcare,Not Specified,,,,
rifabutin,CYP3A5,inducer,Indiana University,Not Specified,,,,
Rifabutin,CYP3A5, inducer,KEGG, Not Specified,,,, 
rifabutin,CYP3A7,inducer,Indiana University,Not Specified,,,,
Rifabutin,CYP3A7, inducer,KEGG, Not Specified,,,, 
Rifabutin,CYP1A2,substrate,SuperCYP,human,,,,
Rifabutin,CYP3A4,substrate,SuperCYP,human,,,,
Rifabutin,CYP3A4,inducer,SuperCYP,human,,,,
Rifabutin,CYP3A4,substrate,SuperCYP,human,,,,
Rifabutin,CYP3A4,inducer,SuperCYP,human,,,,
Rifabutin,CYP3A4,substrate,SuperCYP,human,,,,
Rifabutin,CYP3A4,inducer,SuperCYP,human,,,,
Rifabutin,CYP3A4,substrate,SuperCYP,human,,,,
Rifabutin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP1A2,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP2A6,"substrate,inhibitor,inducer",DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP2B6,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP2C8,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB01045,,,
rifampicin,CYP2C8,Inducer,ildcare,Not Specified,,,,
Rifampicin,CYP2C9,"substrate, inducer",DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP2C19,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP2E1,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A7,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A5,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A4,"substrate, inducer",DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A5,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP3A7,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,CYP4A11,inducer,DrugBank,Not Specified,DB01045,,,
Rifampicin,SLCO1B1,inhibitor,Transporter,,,,,
Rifampicin,SLC01B1,inhibitor,Transporter,,,,,
Rifampicin,SLC01B3,"substrate,inhibitor",Transporter,,,,,
Rifampicin,CYP1A1,inducer,SuperCYP,,,,,
Rifampicin,CYP1A2,substrate,SuperCYP,,,,,
Rifampicin,CYP1A2,inducer,SuperCYP,human,,,,
Rifampicin,CYP1B1,inducer,SuperCYP,,,,,
Rifampicin,CYP2A6,inducer,SuperCYP,human,,,,
Rifampicin,CYP2A6,inhibitor,SuperCYP,human,,,,
Rifampicin,CYP2A6,inducer,SuperCYP,human,,,,
Rifampicin,CYP2A6,substrate,SuperCYP,human,,,,
Rifampicin,CYP2A13,inducer,SuperCYP,,,,,
Rifampicin,CYP2B6,substrate,SuperCYP,,,,,
Rifampicin,CYP2B6,inducer,SuperCYP,human,,,,
Rifampicin,CYP2B6,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C8,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C8,inhibitor,SuperCYP,human,,,,
Rifampicin,CYP2C8,substrate,SuperCYP,human,,,,
Rifampicin,CYP2C8,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C9,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C9,substrate,SuperCYP,human,,,,
Rifampicin,CYP2C9,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C18,inducer,SuperCYP,,,,,
Rifampicin,CYP2C19,inducer,SuperCYP,human,,,,
Rifampicin,CYP2C19,substrate,SuperCYP,,,,,
Rifampicin,CYP2C19,inducer,SuperCYP,human,,,,
Rifampicin,CYP2D6,substrate,SuperCYP,,,,,
Rifampicin,CYP2D6,inducer,SuperCYP,,,,,
Rifampicin,CYP2E1,substrate,SuperCYP,,,,,
Rifampicin,CYP2E1,inducer,SuperCYP,human,,,,
Rifampicin,CYP2F1,inducer,SuperCYP,,,,,
Rifampicin,CYP3A4,inhibitor,SuperCYP,,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A4,substrate,SuperCYP,human,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A5,substrate,SuperCYP,,,,,
Rifampicin,CYP3A5,inhibitor,SuperCYP,,,,,
Rifampicin,CYP3A5,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A5,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A7,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A43,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A4,inhibitor,SuperCYP,,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A4,substrate,SuperCYP,human,,,,
Rifampicin,CYP3A4,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A43,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A5,substrate,SuperCYP,,,,,
Rifampicin,CYP3A5,inhibitor,SuperCYP,,,,,
Rifampicin,CYP3A5,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A5,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A7,inducer,SuperCYP,human,,,,
Rifampicin,CYP3A43,inducer,SuperCYP,human,,,,
Rifampicin,CYP4A11,inducer,SuperCYP,human,,,,
Rifampicin,CYP7A1,inhibitor,SuperCYP,human,,,,
Rifampicin,CYP2B6, inducer,KEGG, Not Specified,,,, Moderate
Rifampicin,CYP2C8, inducer,KEGG, Not Specified,,,, Moderate
Rifampicin,CYP2C9, inducer,KEGG, Not Specified,,,, Moderate
Rifampicin,CYP2C19, inducer,KEGG, Not Specified,,,, Moderate
Rifampicin,CYP2D6, inducer,KEGG, Not Specified,,,, 
Rifampicin,CYP3A4, inducer,KEGG, Not Specified,,,, 
Rifampicin,CYP3A, inducer,KEGG, Not Specified,,,, Strong
Rifampicin,CYP3A4, inducer,KEGG, Not Specified,,,, 
rifampicin,CYP2C19,inducer,Indiana University,Not Specified,,,,
rifampin,CYP1A2,inducer,Indiana University,Not Specified,,,,
rifampin,CYP1A2,Inducer,ildcare,Not Specified,,,,
rifampin,CYP2B6,inducer,Indiana University,Not Specified,,,,
Rifampin,CYP2B6, inducer,KEGG, Not Specified,,,, Moderate
rifampin,CYP2C8,inducer,Indiana University,Not Specified,,,,
Rifampin,CYP2C8, inducer,KEGG, Not Specified,,,, Moderate
rifampin,CYP2C8,Inducer,ildcare,Not Specified,,,,
rifampin,CYP2C9,inducer,Indiana University,Not Specified,,,,
Rifampin,CYP2C9, inducer,KEGG, Not Specified,,,, Moderate
rifampin,CYP2C9,Inducer,ildcare,Not Specified,,,,
Rifampin,CYP2C19, inducer,KEGG, Not Specified,,,, Moderate
rifampin,CYP2C19,Inducer,ildcare,Not Specified,,,,
rifampin,CYP2D6,inducer,Indiana University,Not Specified,,,,
Rifampin,CYP2D6, inducer,KEGG, Not Specified,,,, 
rifampin,CYP2D6,Inducer,ildcare,Not Specified,,,,
Rifampin,CYP3A4, inducer,KEGG, Not Specified,,,, 
Rifampin,CYP3A, inducer,KEGG, Not Specified,,,, Strong
rifampin,CYP3A4,substrate,ildcare,Not Specified,,,,
rifampin,CYP3A4,Inducer,ildcare,Not Specified,,,,
Rifampin,CYP3A4, inducer,KEGG, Not Specified,,,, 
rifampin,CYP3A4,substrate,ildcare,Not Specified,,,,
rifampin,CYP3A4,Inducer,ildcare,Not Specified,,,,
rifampin,CYP3A7,inducer,Indiana University,Not Specified,,,,
rifampin,CYP3A4,inducer,Indiana University,Not Specified,,,,
rifampin,CYP3A5,inducer,Indiana University,Not Specified,,,,
rifampin,CYP3A7,inducer,Indiana University,Not Specified,,,,
rifampin,CYP3A4,inducer,Indiana University,Not Specified,,,,
rifampin,CYP3A5,inducer,Indiana University,Not Specified,,,,
Rifapentine,CYP2C8,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP2C9,inducer,DrugBank,Not Specified,DB01201,,,
rifapentine,CYP2C9,Inducer,ildcare,Not Specified,,,,
Rifapentine,CYP2D6,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP3A7,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP3A5,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP3A4,inducer,DrugBank,Not Specified,DB01201,,,
rifapentine,CYP3A4,Inducer,ildcare,Not Specified,,,,
Rifapentine,CYP3A4,inducer,DrugBank,Not Specified,DB01201,,,
rifapentine,CYP3A4,Inducer,ildcare,Not Specified,,,,
Rifapentine,CYP3A5,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP3A7,inducer,DrugBank,Not Specified,DB01201,,,
Rifapentine,CYP2C8,inducer,SuperCYP,human,,,,
Rifapentine,CYP2C8,inducer,SuperCYP,human,,,,
Rifapentine,CYP2C9,inducer,SuperCYP,human,,,,
Rifapentine,CYP2C9,inducer,SuperCYP,human,,,,
Rifapentine,CYP2D6,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A4,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A4,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A5,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A7,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A43,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A4,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A4,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A43,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A5,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A7,inducer,SuperCYP,human,,,,
Rifapentine,CYP3A43,inducer,SuperCYP,human,,,,
Rifaximin,CYP3A4,inducer,DrugBank,Not Specified,DB01220,,,
Rifaximin,CYP3A4,inducer,DrugBank,Not Specified,DB01220,,,
Rifaximin,CYP3A4,inducer,SuperCYP,human,,,,
Rifaximin,CYP3A4,inducer,SuperCYP,human,,,,
Rilpivirine,CYP1A2,inducer,DrugBank,Not Specified,DB08864,,,
Rilpivirine,CYP2C19,inhibitor,DrugBank,Not Specified,DB08864,,,
Rilpivirine,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB08864,,,
Rilpivirine,CYP3A,substrate,KEGG, Not Specified,,,, 
Rilpivirine,CYP3A,substrate,KEGG, Not Specified,,,, 
Rilpivirine,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB08864,,,
Rilpivirine,SLCO1B1,inhibitor,Transporter,,,,,
Rilpivirine,ABCG2,inhibitor,Transporter,,,,,
Rilpivirine,SLC01B1,inhibitor,Transporter,,,,,
Rilpivirine,SLC01B3,inhibitor,Transporter,,,,,
Riluzole,CYP1A1,substrate,DrugBank,Not Specified,DB00740,,,
Riluzole,CYP1A2,substrate,DrugBank,Not Specified,DB00740,,,
riluzole,CYP1A2,substrate,Indiana University,Not Specified,,,,
Riluzole,CYP1A2,substrate,KEGG, Not Specified,,,, 
riluzole,CYP1A2,substrate,ildcare,Not Specified,,,,
Riluzole,ABCG2,substrate,Transporter,,,,,
Riluzole,CYP1A1,substrate,SuperCYP,human,,,,
Riluzole,CYP1A2,substrate,SuperCYP,human,,,,
Riluzole,CYP1A2,substrate,SuperCYP,human,,,,
Rimonabant,CYP3A4,substrate,DrugBank,Not Specified,DB06155,,,
Rimonabant,CYP3A4,substrate,DrugBank,Not Specified,DB06155,,,
Riociguat,CYP1A1,substrate,KEGG, Not Specified,,,, 
Riociguat,ABCG2,substrate,Transporter,,,,,
Risperidone,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00734,,,
risperidone,CYP2D6,substrate,Indiana University,Not Specified,,,,
Risperidone,CYP2D6,substrate,KEGG, Not Specified,,,, 
risperidone,CYP2D6,substrate,ildcare,Not Specified,,,,
Risperidone,CYP3A7,substrate,DrugBank,Not Specified,DB00734,,,
Risperidone,CYP3A5,substrate,DrugBank,Not Specified,DB00734,,,
Risperidone,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00734,,,
risperidone,CYP3A4,substrate,Indiana University,Not Specified,,,,
risperidone,CYP3A5,substrate,Indiana University,Not Specified,,,,
risperidone,CYP3A7,substrate,Indiana University,Not Specified,,,,
Risperidone,CYP3A4,"substrate,inhibitor",DrugBank,Not Specified,DB00734,,,
risperidone,CYP3A4,substrate,Indiana University,Not Specified,,,,
Risperidone,CYP3A5,substrate,DrugBank,Not Specified,DB00734,,,
risperidone,CYP3A5,substrate,Indiana University,Not Specified,,,,
Risperidone,CYP3A7,substrate,DrugBank,Not Specified,DB00734,,,
risperidone,CYP3A7,substrate,Indiana University,Not Specified,,,,
Risperidone,CYP2D6,substrate,KEGG, Not Specified,,,, 
Risperidone,CYP2D6,substrate,SuperCYP,human,,,,
Risperidone,CYP2D6,substrate,SuperCYP,human,,,,
Risperidone,CYP2D6,inhibitor,SuperCYP,human,,,,
Risperidone,CYP3A4,substrate,SuperCYP,human,,,,
Risperidone,CYP3A4,inhibitor,SuperCYP,human,,,,
Risperidone,CYP3A4,substrate,SuperCYP,human,,,,
Risperidone,CYP3A5,substrate,SuperCYP,human,,,,
Risperidone,CYP3A7,substrate,SuperCYP,,,,,
Risperidone,CYP3A4,substrate,SuperCYP,human,,,,
Risperidone,CYP3A4,inhibitor,SuperCYP,human,,,,
Risperidone,CYP3A4,substrate,SuperCYP,human,,,,
Risperidone,CYP3A5,substrate,SuperCYP,human,,,,
Risperidone,CYP3A7,substrate,SuperCYP,,,,,
risperidone,CYP2D6,substrate,Indiana University,Not Specified,,,,
Ritonavir,CYP1A2,"substrate, inducer",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP1A2,Inducer,ildcare,Not Specified,,,,
Ritonavir,CYP2B6,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP2B6,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP2C8,"inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP2C9,"inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP2C19,"inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP2C19,inducer,Indiana University,Not Specified,,,,
Ritonavir,CYP2C19,inhibitor,KEGG, Not Specified,,,, 
Ritonavir,CYP2C19, inducer,KEGG, Not Specified,,,, 
Ritonavir,CYP2D6,"substrate,inhibitor",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP2D6,inhibitor,Indiana University,Not Specified,,,,
Ritonavir,CYP2D6,inhibitor,KEGG, Not Specified,,,, Weak
ritonavir,CYP2D6,Inhibitor,ildcare,Not Specified,,,,
ritonavir,CYP2D6,Inducer,ildcare,Not Specified,,,,
Ritonavir,CYP2E1,inhibitor,DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00503,,,
Ritonavir,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP3A4,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A5,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A7,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
ritonavir,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
ritonavir,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
Ritonavir,CYP3A,inhibitor,KEGG, Not Specified,,,, Strong
ritonavir,CYP3A4,substrate,ildcare,Not Specified,,,,
ritonavir,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Ritonavir,CYP3A4,"substrate,inhibitor, inducer",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP3A4,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
ritonavir,CYP3A4,substrate,ildcare,Not Specified,,,,
ritonavir,CYP3A4,inhibitor,ildcare,Not Specified,,,,
Ritonavir,CYP3A5,"substrate,inhibitor",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP3A5,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
Ritonavir,CYP3A7,"substrate,inhibitor",DrugBank,Not Specified,DB00503,,,
ritonavir,CYP3A7,substrate,Indiana University,Not Specified,,,,
ritonavir,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
Ritonavir,SLCO1B1,inhibitor,Transporter,,,,,
Ritonavir,ABCG2,inhibitor,Transporter,,,,,
Ritonavir,SLC01B1,inhibitor,Transporter,,,,,
Ritonavir,CYP1A2,inhibitor,SuperCYP,,,,,
Ritonavir,CYP1A2,inducer,SuperCYP,human,,,,
Ritonavir,CYP1A2,substrate,SuperCYP,human,,,,
Ritonavir,CYP2B6,inducer,SuperCYP,human,,,,
Ritonavir,CYP2B6,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2B6,substrate,SuperCYP,human,,,,
Ritonavir,CYP2B6,inducer,SuperCYP,human,,,,
Ritonavir,CYP2C8,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C8,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C8,inducer,SuperCYP,human,,,,
Ritonavir,CYP2C9,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C9,inducer,SuperCYP,human,,,,
Ritonavir,CYP2C9,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C9,inducer,SuperCYP,human,,,,
Ritonavir,CYP2C9,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C19,inducer,SuperCYP,human,,,,
Ritonavir,CYP2C19,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C19,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2C19,inducer,SuperCYP,human,,,,
Ritonavir,CYP2D6,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2D6,substrate,SuperCYP,human,,,,
Ritonavir,CYP2D6,substrate,SuperCYP,human,,,,
Ritonavir,CYP2D6,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2D6,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP2E1,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,human,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,inducer,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,human,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A5,inducer,SuperCYP,,,,,
Ritonavir,CYP3A5,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A5,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A5,substrate,SuperCYP,,,,,
Ritonavir,CYP3A7,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A7,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A7,substrate,SuperCYP,,,,,
Ritonavir,CYP3A7,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,human,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,inducer,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,human,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A4,substrate,SuperCYP,,,,,
Ritonavir,CYP3A4,inhibitor,SuperCYP,human,,,,
Ritonavir,CYP3A5,inducer,SuperCYP,,,,,
